8
1,8,2,9
3,11,4,10
5,2,6,3
7,14,8,15
9,5,10,4
11,16,12,1
13,6,14,7
15,12,16,13
2,11,3,12
4,7,5,8
6,13,7,14
8,3,9,4
10,16,11,15
12,5,13,6
14,1,15,2
16,10,1,9
2,12,3,11
4,1,5,2
6,9,7,10
8,15,9,16
10,4,11,3
12,5,13,6
14,7,15,8
16,13,1,14
1,4,2,5
3,9,4,8
5,12,6,13
7,16,8,1
9,3,10,2
11,14,12,15
13,6,14,7
15,10,16,11
2,10,3,9
4,1,5,2
6,13,7,14
8,4,9,3
10,5,11,6
12,15,13,16
14,7,15,8
16,11,1,12
1,12,2,13
3,11,4,10
5,2,6,3
7,14,8,15
9,5,10,4
11,6,12,7
13,16,14,1
15,8,16,9
2,13,3,14
4,7,5,8
6,15,7,16
8,3,9,4
10,2,11,1
12,9,13,10
14,5,15,6
16,12,1,11
1,12,2,13
3,6,4,7
5,14,6,15
7,2,8,3
9,1,10,16
11,8,12,9
13,4,14,5
15,11,16,10
1,9,2,8
3,10,4,11
5,14,6,15
7,3,8,2
9,6,10,7
11,16,12,1
13,4,14,5
15,12,16,13
1,9,2,8
3,16,4,1
5,12,6,13
7,3,8,2
9,4,10,5
11,14,12,15
13,6,14,7
15,10,16,11
1,12,2,13
3,11,4,10
5,2,6,3
7,14,8,15
9,5,10,4
11,6,12,7
13,16,14,1
15,8,16,9
1,4,2,5
3,11,4,10
5,12,6,13
7,14,8,15
9,6,10,7
11,3,12,2
13,16,14,1
15,8,16,9
1,14,2,15
3,13,4,12
5,2,6,3
7,10,8,11
9,16,10,1
11,5,12,4
13,6,14,7
15,8,16,9
1,4,2,5
3,12,4,13
5,8,6,9
7,15,8,14
9,16,10,1
11,2,12,3
13,10,14,11
15,7,16,6
